"Part";"Value";"Device";"Package";"Description";"BUERKLIN";"CONRAD";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1RF";"SMA-2WIRE_PCB-MOUNTING";"SMA-2WIRE_PCB-MOUNTING";"J01151A0931";"SMA 50 Ohm Straight Jack Receptacle - PCB Mountung";"76F410";"";"";"";"";"";
"1_ATMEGA328";"ATMega-328";"ATMEGA168/328TQFP32";"TQFP32-08";"Atmel 32-pin 8-bit micro, 16k flash.";"64 S 3046";"";"";"";"";"";
"1_RFM12B";"RFM12B_MINPADS";"RFM12B_MINPADS";"RFM12B-MINPADS";"";"";"";"";"";"";"";
"1_RFM69";"RFM69_MINIPADS";"RFM69_MINIPADS";"RFM69W-MINPADS";"";"";"";"";"";"";"";
"2IRQ";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"2RF";"SMA-2WIRE_PCB-MOUNTING";"SMA-2WIRE_PCB-MOUNTING";"J01151A0931";"SMA 50 Ohm Straight Jack Receptacle - PCB Mountung";"76F410";"";"";"";"";"";
"2_ATMEGA328";"ATMega-328";"ATMEGA168/328TQFP32";"TQFP32-08";"Atmel 32-pin 8-bit micro, 16k flash.";"64 S 3046";"";"";"";"";"";
"2_RFM12B";"RFM12B_MINPADS";"RFM12B_MINPADS";"RFM12B-MINPADS";"";"";"";"";"";"";"";
"2_RFM69";"RFM69_MINIPADS";"RFM69_MINIPADS";"RFM69W-MINPADS";"";"";"";"";"";"";"";
"3RF";"SMA-2WIRE_PCB-MOUNTING";"SMA-2WIRE_PCB-MOUNTING";"J01151A0931";"SMA 50 Ohm Straight Jack Receptacle - PCB Mountung";"76F410";"";"";"";"";"";
"3V3";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"3_OOK";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";
"3_RFM12B";"RFM12B_MINPADS";"RFM12B_MINPADS";"RFM12B-MINPADS";"";"";"";"";"";"";"";
"3_RFM69";"RFM69_MINIPADS";"RFM69_MINIPADS";"RFM69W-MINPADS";"";"";"";"";"";"";"";
"5V";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"BC817-40_1";"";"BC817-40-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"12S6220";"";"";"";"";"";
"BC817-40_2";"";"BC817-40-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"12S6220";"";"";"";"";"";
"C1";"0.1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";"";"";"";"";
"C2";"10u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1652";"";"";"";"";"";
"C3";"0.1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";"";"";"";"";
"C4";"1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1657";"";"";"";"";"";
"C5";"0.1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";"";"";"";"";
"C6";"0.1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";"";"";"";"";
"C8";"0.1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";"";"";"";"";
"C100";"4,7u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1659";"";"";"";"";"";
"FTDI";"FTDI";"MA06-1";"MA06-1";"PIN HEADER";"59 F 2134";"";"";"";"";"";
"IC1";"LINEAR_MCP1703DB";"LINEAR_MCP1703DB";"LINEAR_SOT223";"250 mA, 16V, Low Quiescent Current LDO Regulator";"41 S 7654";"";"";"";"";"";
"IR-RX";"TSOP4836";"TSOP4836";"TSOP18XX";"IR Receiver and Demodulator";"";"171107-62";"";"";"";"";
"IR-TX";"1503_13";"1503_13";"1503-03";"";"39F1215";"";"";"";"";"";
"ISP";"AVRISP-6";"AVRISP-6";"AVRISP";"AVR ISP HEADER";"";"737480 - 62";"";"";"";"";
"JP1";"";"JP3Q";"JP3Q";"JUMPER";"";"737480 - 62";"";"";"";"";
"LED";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";
"MISO";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"MOSI";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"PIEZO";"BUZZER-PIEZOAL-60SP";"BUZZER-PIEZOAL-60SP";"AL-60SP05";"Piezoelectric Acoustic Transducer";"";"751553 - 62";"";"";"unknown";"unknown";
"R1";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";"";"";"";"";"";
"R2";"100";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 768";"";"";"";"";"";
"R3";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";"";"";"";"";"";
"R4";"100";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 768";"";"";"";"";"";
"R5";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";"";"";"";"";"";
"R6";"100";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 768";"";"";"";"";"";
"R7";"100";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 768";"";"";"";"";"";
"R10";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";"";"";"";"";"";
"R11";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";"";"";"";"";"";
"R12";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";"";"";"";"";"";
"R100";"33";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 756";"";"";"";"";"";
"R101";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";"";"";"";"";"";
"R102";"270";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 778";"";"";"";"";"";
"R103";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";"";"";"";"";"";
"RST";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"SCK";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";
"U$1";"RFM12B_ANTENNA";"RFM12B_ANTENNA";"RFM12B-ANTENNA";"";"";"";"";"";"";"";
"U$2";"RFM12B_ANTENNA";"RFM12B_ANTENNA";"RFM12B-ANTENNA";"";"";"";"";"";"";"";
"U$5";"RFM12B_ANTENNA";"RFM12B_ANTENNA";"RFM12B-ANTENNA";"";"";"";"";"";"";"";
"U$6";"RadioNetwork";"BEAGLEBONE_OUTLINE";"BEAGLEBONE_SHIELD";"Should match A3 pinout - but not completely tested";"";"393509 - 62";"";"";"";"";
"X1";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";"";"";
"X2";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";"";"";
