"Part";"Value";"Device";"Package";"Description";"BUERKLIN";
"9VAC";"PJ-002A-SMT";"PJ-002A-SMT";"CUI_PJ-002B-SMT";"";"40 F 1345";
"BURDEN";"R22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"11 E 808";
"BURDEN3";"R22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"11 E 808";
"BURDEN6";"R22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"11 E 808";
"C1";"10u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 2088";
"C3";"10u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 2088";
"C4";"1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 2083";
"C6";"10u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 2088";
"C9";"10u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 2088";
"CT1";"1503_13";"1503_13";"1503-03";"";"39F1215";
"CT4";"1503_13";"1503_13";"1503-03";"";"39F1215";
"CT7";"1503_13";"1503_13";"1503-03";"";"39F1215";
"JP1";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";
"JP2";"";"PINHD-1X3CB";"1X03-CLEANBIG";"PIN HEADER";"";
"JP3";"";"PINHD-1X3CB";"1X03-CLEANBIG";"PIN HEADER";"";
"JP4";"";"PINHD-1X3CB";"1X03-CLEANBIG";"PIN HEADER";"";
"R1";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";
"R2";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";
"R3";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";
"R4";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";
"R5";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";
"R6";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";
"R7";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";
"R8";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";
"R9";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";
"R10";"120k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 842 ";
"R11";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";
"R12";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";
"R15";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";
"R16";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";
"R17";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";
"R24";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";
"R25";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";
"R26";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";
