,Part,Value,Device,Package,Description,BERKLIN_2,BUERKLIN,BUERKLIN_1,CONRAD,EBAY,TSOP34836
1,ATMEGA328,ATMega-328,ATMEGA168/328TQFP32,TQFP32-08,"Atmel 32-pin 8-bit micro, 16k flash.",,64 S 4010,,155196 - 62,,
x,BC817-40,,BC817-40-NPN-SOT23-BEC,SOT23-BEC,NPN Transistror,,12S6220,,,,
10,BURDEN,R22,R-US_R0805,R0805,"RESISTOR, American symbol",,11 E 808,,,,
10,C1,0.1,CAP0603-CAP,0603-CAP,Capacitor,,53 D 1726,,,,
x,C2,1u,CAP0603-CAP,0603-CAP,Capacitor,,53D1660,,,,
x,C3,10u,CAP0805-CAP,0805-CAP,Capacitor,,53 D 2432,,,,
x,C4,0.1,CAP0603-CAP,0603-CAP,Capacitor,,53 D 1726,,,,
x,C5,0.1,CAP0603-CAP,0603-CAP,Capacitor,,53 D 1726,,,,
x,C6,0.1,CAP0603-CAP,0603-CAP,Capacitor,,53 D 1726,,,,
x,C7,0.1,CAP0603-CAP,0603-CAP,Capacitor,,53 D 1726,,,,
x,C8,0.1,CAP0603-CAP,0603-CAP,Capacitor,,53 D 1726,,,,
x,C9,0.1,CAP0603-CAP,0603-CAP,Capacitor,,53 D 1726,,,,
x,C10,10u,CAP0603-CAP,0603-CAP,Capacitor,,53 D 2088,,,,
x,C11,0.1,CAP0603-CAP,0603-CAP,Capacitor,,53 D 1726,,,,
x,C12,1u,CAP0603-CAP,0603-CAP,Capacitor,,53D1660,,,,
x,C13,10u,CAP0805-CAP,0805-CAP,Capacitor,,53 D 2432,,,,
x,C100,"4,7u",CAP0603-CAP,0603-CAP,Capacitor,,53 D 1659,,,,
2,CT1,1503_13,1503_13,1503-03,,,39F1215,,,,
x,FTDI,FTDI,M06SIP,1X06,Header 6,,59 F 2134,,,,
x,IC2,LINEAR_MCP1703DB,LINEAR_MCP1703DB,LINEAR_SOT223,"250 mA, 16V, Low Quiescent Current LDO Regulator",,41 S 7654,,,,
x,IC3,MCP1703CB,MCP1703CB,SOT23,"250 mA, 16V, Low Quiescent Current LDO Regulator",,,,651422-62,,
,IR-RX,TSOP4836,TSOP4836,TSOP18XX,IR Receiver and Demodulator,,,,171107-62,TSOP34836,
x,LDR,GL5537,M9960_11A,M9960,"Photo Sensor Beacon Light, Photometer Applications",,,,,GL5537,
1,PIEZO,BUZZER-PIEZO_SMD,BUZZER-PIEZO_SMD,BUZZER-PIEZO_SMD,Piezoelectric Acoustic Transducer,36 M 346,36 M 370,36 M 368,,,
x,R1,10k,RESISTOR0603-RES,0603-RES,Resistor,,26 E 816,,,,
x,R2,1k,RESISTOR0603-RES,0603-RES,Resistor,,26 E 792,,,,
x,R3,100,RESISTOR0603-RES,0603-RES,Resistor,,26 E 768,,,,
x,R4,33,RESISTOR0603-RES,0603-RES,Resistor,,26 E 756,,,,
x,R5,,SELECT0603-SELECT,0603-SELECT,Resistor,,,,,,
x,R6,470k,RESISTOR0603-RES,0603-RES,Resistor,,26 E 856,,,,
x,R7,470k,RESISTOR0603-RES,0603-RES,Resistor,,26 E 856,,,,
x,R8,301k,RESISTOR0603-RES,0603-RES,Resistor,,26 E 7197,,,,
x,R103,1k,RESISTOR0603-RES,0603-RES,Resistor,,26 E 792,,,,
x,U$3,RFM12B_ANTENNA,RFM12B_ANTENNA,RFM12B-ANTENNA,,,,,,,
x,U$4,RFM69_MINIPADS,RFM69_MINIPADS,RFM69W-MINPADS,,,,,,,
x,U$6,RFM12B_ANTENNA,RFM12B_ANTENNA,RFM12B-ANTENNA,,,,,,,
x,U$7,RFM69_MINIPADS,RFM69_MINIPADS,RFM69W-MINPADS,,,,,,,
x,U$8,RFM12B_ANTENNA,RFM12B_ANTENNA,RFM12B-ANTENNA,,,,,,,
x,U$9,RFM69_MINIPADS,RFM69_MINIPADS,RFM69W-MINPADS,,,,,,,
xx,U$10,RFM12B_ANTENNA,RFM12B_ANTENNA,RFM12B-ANTENNA,,,,,,,
x,U$11,RFM69_MINIPADS,RFM69_MINIPADS,RFM69W-MINPADS,,,,,,,
x,X1,16 MHz,RESONATORSMD,RESONATOR-SMD,Resonator,,,,,,
,X2,SMA-2WIRE_HALF-PCB,SMA-2WIRE_HALF-PCB,SMA-EDGE-HALF,SMA 50 Ohm Straight Jack Receptacle - PCB Mountung,,,,,,
,X3,SMA-2WIRE_HALF-PCB,SMA-2WIRE_HALF-PCB,SMA-EDGE-HALF,SMA 50 Ohm Straight Jack Receptacle - PCB Mountung,,,,,,
,X4,SMA-2WIRE_HALF-PCB,SMA-2WIRE_HALF-PCB,SMA-EDGE-HALF,SMA 50 Ohm Straight Jack Receptacle - PCB Mountung,,,,,,
,X5,SMA-2WIRE_HALF-PCB,SMA-2WIRE_HALF-PCB,SMA-EDGE-HALF,SMA 50 Ohm Straight Jack Receptacle - PCB Mountung,,,,,,
